mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,centroid,zcr,genre
-113.619384765625,121.55301666259766,-19.15105628967285,42.345767974853516,-6.3711676597595215,18.613033294677734,-13.692060470581055,15.339378356933594,-12.28361701965332,10.973774909973145,-8.322409629821777,8.806787490844727,-3.665802001953125,0.361726850271225,0.36761870980262756,0.43998005986213684,0.24463452398777008,0.2478017657995224,0.3356154263019562,0.3645760416984558,0.43564707040786743,0.2958413064479828,0.3146337866783142,0.40656036138534546,0.38477030396461487,1784.416545970319,0.08306639113293343,blues
-207.58151245117188,123.99714660644531,8.939114570617676,35.870758056640625,2.9199705123901367,21.518787384033203,-8.555368423461914,23.355937957763672,-10.10103702545166,11.90644359588623,-5.558122634887695,5.375942230224609,-2.237833023071289,0.45962226390838623,0.34987717866897583,0.3209685981273651,0.2115858793258667,0.20090791583061218,0.3310050964355469,0.3976469337940216,0.5606763362884521,0.3843792974948883,0.255473792552948,0.28495901823043823,0.3342382609844208,1529.8713140945188,0.056044256724071206,blues
-90.7763442993164,140.4486083984375,-29.10055923461914,31.687339782714844,-13.975973129272461,25.741682052612305,-13.644712448120117,11.623111724853516,-11.775920867919922,9.70046615600586,-13.115348815917969,5.785763263702393,-8.89973258972168,0.2726714015007019,0.19586877524852753,0.31525424122810364,0.4081348180770874,0.5470826029777527,0.3217753767967224,0.30478695034980774,0.2885168790817261,0.3342420160770416,0.40191107988357544,0.3843080401420593,0.5881897211074829,1552.6377863181906,0.07630074799245357,blues
-199.46200561523438,150.09474182128906,5.649167060852051,26.87014389038086,1.755440592765808,14.2368803024292,-4.8288726806640625,9.29784870147705,-0.7531418800354004,8.147393226623535,-3.1952357292175293,6.085353851318359,-2.4761881828308105,0.34086182713508606,0.40857699513435364,0.5245686173439026,0.5470744967460632,0.6571127772331238,0.5116710662841797,0.35563045740127563,0.251690149307251,0.24638640880584717,0.31520888209342957,0.31654343008995056,0.3828551471233368,1070.1100585189854,0.03330894446594427,blues
-160.29185485839844,126.19576263427734,-35.602500915527344,22.151168823242188,-32.487640380859375,10.862022399902344,-23.357162475585938,0.5005233287811279,-11.804770469665527,1.2038776874542236,-13.085074424743652,-2.8098487854003906,-6.9356207847595215,0.19272667169570923,0.3172316551208496,0.39155152440071106,0.25590550899505615,0.1928039789199829,0.5305815935134888,0.2539423406124115,0.1392154097557068,0.27655506134033203,0.3243357837200165,0.5552976727485657,0.2730299234390259,1835.5070084014953,0.1015001421004257,blues
-177.88876342773438,118.18952941894531,-17.550729751586914,30.753101348876953,-21.732107162475586,11.898545265197754,-20.732280731201172,3.176168918609619,-8.575770378112793,-0.9401844143867493,-11.773798942565918,-2.4260759353637695,-9.342486381530762,0.23830761015415192,0.3001772165298462,0.6168901920318604,0.23552347719669342,0.12392118573188782,0.2436339408159256,0.27951210737228394,0.41132164001464844,0.24399375915527344,0.28561267256736755,0.28419914841651917,0.3658749759197235,1831.9900685948742,0.09403986975135449,blues
-190.17501831054688,130.29241943359375,-36.348472595214844,33.029090881347656,11.085680961608887,-0.5963724851608276,-20.882356643676758,0.2771161198616028,-6.500870704650879,-5.515623092651367,-7.8452887535095215,-3.123599052429199,-6.5957159996032715,0.42547881603240967,0.22330671548843384,0.1313037872314453,0.1526467353105545,0.2418576180934906,0.4910733699798584,0.2456035315990448,0.16917839646339417,0.2882331311702728,0.4614280164241791,0.35944870114326477,0.3073091208934784,1459.0353761872718,0.07302790308146284,blues
-179.42007446289062,136.4420928955078,-26.644338607788086,39.979591369628906,5.301814556121826,10.921236991882324,-20.555347442626953,8.507476806640625,-11.35435962677002,-3.4690983295440674,-8.414113998413086,-6.956976890563965,-3.5483481884002686,0.25941815972328186,0.26425817608833313,0.32541999220848083,0.21780180931091309,0.2151205837726593,0.295216828584671,0.1900440901517868,0.1808650642633438,0.26435011625289917,0.3901410400867462,0.6485509872436523,0.43658754229545593,1451.8494584581754,0.06143500266060371,blues
-121.38711547851562,122.5053939819336,-14.739394187927246,46.135292053222656,-8.160384178161621,20.170509338378906,-19.169321060180664,23.050188064575195,-11.825939178466797,21.173410415649414,-6.720290660858154,7.005018711090088,-12.739909172058105,0.31952103972435,0.3046649396419525,0.36683228611946106,0.42233848571777344,0.524003803730011,0.4506942629814148,0.493522047996521,0.3529855012893677,0.38034287095069885,0.46188274025917053,0.366482138633728,0.46470749378204346,1719.2739373344168,0.06402757957623839,blues
-213.20452880859375,115.154541015625,-11.720502853393555,39.032554626464844,-20.357818603515625,13.089925765991211,-9.180814743041992,9.023638725280762,-14.101024627685547,4.283337116241455,-6.044196128845215,3.786367893218994,0.22368738055229187,0.24841243028640747,0.2733064293861389,0.4887445867061615,0.26811468601226807,0.1795714646577835,0.2677972614765167,0.22273746132850647,0.41564545035362244,0.2728808522224426,0.18116427958011627,0.2293047159910202,0.24049191176891327,1817.5295464146707,0.0792153184258901,blues
